ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
11351,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",20,2.3,0.4,3.1,1.6,1.5,435,0.111,0,82,0.85,9,1.1,0.25,0.07,53,0.126,1.2,14,0.336,33,0.9,0.19,Vegetable
11352,"Potatoes, flesh and skin, raw",77,2.02,0.09,17.47,0.78,2.2,0,0.295,0,19.7,0.01,16,1.054,0.032,0.08,12,0.108,0.78,23,0.153,57,0.3,0.29,Vegetable
11353,"Potatoes, russet, flesh and skin, raw",79,2.14,0.08,18.07,0.62,1.3,0,0.345,0,5.7,0.01,14,1.035,0.033,0.082,13,0.103,0.86,23,0.157,55,0.4,0.29,Vegetable
11354,"Potatoes, white, flesh and skin, raw",69,1.68,0.1,15.71,1.15,2.4,0,0.203,0,9.1,0.01,18,1.066,0.034,0.071,9,0.116,0.52,21,0.145,62,0.3,0.29,Vegetable
11355,"Potatoes, red, flesh and skin, raw",70,1.89,0.14,15.9,1.29,1.7,0,0.17,0,8.6,0.01,18,1.149,0.031,0.081,10,0.134,0.73,22,0.141,61,0.5,0.33,Vegetable
11356,"Potatoes, Russet, flesh and skin, baked",97,2.63,0.13,21.44,1.08,2.3,1,0.354,0,8.3,0.07,26,1.348,0.048,0.067,18,0.107,1.07,30,0.228,71,0.5,0.35,Vegetable
11357,"Potatoes, white, flesh and skin, baked",94,2.1,0.15,21.08,1.53,2.1,1,0.211,0,12.6,0.04,38,1.528,0.043,0.048,10,0.127,0.64,27,0.189,75,0.5,0.35,Vegetable
11358,"Potatoes, red, flesh and skin, baked",89,2.3,0.15,19.59,1.43,1.8,1,0.212,0,12.6,0.08,27,1.595,0.05,0.072,9,0.174,0.7,28,0.173,72,0,0.4,Vegetable
11359,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",150,2.34,4.99,23.96,0.21,2,0,0.196,0,7.7,0.1,31,2.14,0.037,0.106,13,0.077,0.62,21,0.157,81,0.5,0.34,Vegetable
11360,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",166,2.51,5.13,27.5,0.29,2.3,0,0.172,0,11.8,0.1,0,2.135,0.031,0.122,13,0.145,0.75,28,0.219,97,0.1,0.4,Vegetable
11361,"Potatoes, roasted, salt added in processing, frozen, unprepared",130,2.22,1.81,26.15,0.69,2.6,0,0,0,1.7,0,0,0,0,0,15,0,0.5,0,0,0,0,0,Vegetable
11362,"Potatoes, raw, skin",58,2.57,0.1,12.44,0,2.5,0,0.239,0,11.4,0,17,1.033,0.038,0.021,30,0.423,3.24,23,0.602,38,0.3,0.35,Vegetable
11363,"Potatoes, baked, flesh, without salt",93,1.96,0.1,21.55,1.7,1.5,0,0.301,0,12.8,0.04,9,1.395,0.021,0.105,5,0.215,0.35,25,0.161,50,0.3,0.29,Vegetable
11364,"Potatoes, baked, skin, without salt",198,4.29,0.1,46.06,1.4,7.9,1,0.614,0,13.5,0.04,22,3.065,0.106,0.122,34,0.817,7.04,43,0.616,101,0.7,0.49,Vegetable
11365,"Potatoes, boiled, cooked in skin, flesh, without salt",87,1.87,0.1,20.13,0.87,1.8,0,0.299,0,13,0.01,10,1.439,0.02,0.106,5,0.188,0.31,22,0.138,44,0.3,0.3,Vegetable
11366,"Potatoes, boiled, cooked in skin, skin, without salt",78,2.86,0.1,17.21,0,3.3,0,0.239,0,5.2,0,10,1.222,0.036,0.032,45,0.878,6.07,30,1.338,54,0.3,0.44,Vegetable
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",86,1.71,0.1,20.01,0.85,1.8,0,0.269,0,7.4,0.01,9,1.312,0.019,0.098,8,0.167,0.31,20,0.14,40,0.3,0.27,Vegetable
11368,"Potatoes, microwaved, cooked in skin, flesh, without salt",100,2.1,0.1,23.28,0,1.6,0,0.319,0,15.1,0,12,1.625,0.025,0.129,5,0.237,0.41,25,0.17,109,0.4,0.33,Vegetable
11369,"Potatoes, microwaved, cooked in skin, skin, without salt",132,4.39,0.1,29.63,0,5.5,0,0.492,0,15.3,0,17,2.22,0.075,0.071,46,0.882,5.94,37,0.98,82,0.5,0.51,Vegetable
11370,"Potatoes, hash brown, home-prepared",265,3,12.52,35.11,1.49,3.2,0,0.472,0,13,0.01,16,2.302,0.033,0.172,14,0.293,0.55,35,0.247,70,0.5,0.47,Vegetable
11371,"Potatoes, mashed, home-prepared, whole milk and margarine added",113,1.96,4.2,16.94,1.41,1.5,44,0.247,0.07,10.5,0.42,9,1.174,0.042,0.092,21,0.155,0.26,19,0.113,48,0.8,0.3,Vegetable
11372,"Potatoes, scalloped, home-prepared with butter",88,2.87,3.68,10.78,0,1.9,0,0.178,0,10.6,0,13,1.053,0.092,0.069,57,0.163,0.57,19,0.166,63,1.6,0.4,Vegetable
11373,"Potatoes, au gratin, home-prepared from recipe using butter",132,5.06,7.59,11.27,0,1.8,64,0.174,0,9.9,0,13,0.993,0.116,0.064,119,0.16,0.64,20,0.161,113,2.7,0.69,Vegetable
11374,"Potatoes, canned, solids and liquids",44,1.2,0.11,9.89,0,1.4,0,0.137,0,7.6,0,5,0.889,0.02,0.034,39,0.07,0.72,14,0.071,22,0.7,0.39,Vegetable
11376,"Potatoes, canned, drained solids",60,1.41,0.21,13.61,0,2.3,0,0.188,0,5.1,0,6,0.915,0.013,0.068,5,0.057,1.26,14,0.097,28,0.9,0.28,Vegetable
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",354,8.34,0.41,81.17,3.36,6.6,1,0.748,0,81,0.03,46,6.264,0.11,0.988,27,0.161,1.21,66,0.161,156,13.4,0.7,Vegetable
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",97,1.77,5.13,10.87,1.61,0.8,47,0.098,0.11,9.7,0.14,7,0.776,0.054,0.13,32,0.031,0.16,11,0.021,39,2.5,0.18,Vegetable
11380,"Potatoes, mashed, dehydrated, granules without milk, dry form",372,8.22,0.54,85.51,3.47,7.1,1,0.861,0,37,0.27,40,4.765,0.253,0.453,41,0.102,1.09,98,1.121,245,27.1,0.91,Vegetable
11381,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",108,2.05,4.96,14.36,0,2.2,43,0.009,0,6,0,8,0.764,0.077,0.079,35,0.022,0.19,19,0.003,60,1.3,0.25,Vegetable
11382,"Potatoes, mashed, dehydrated, granules with milk, dry form",357,10.9,1.1,77.7,3.37,6.6,18,0.887,0,16,0.03,30,4.2,0.3,0.19,142,0.578,3.5,74,0.488,237,26.3,1.2,Vegetable
11383,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",116,2.13,4.8,16.13,1.74,1.3,51,0.16,0.1,6.5,0.51,8,0.86,0.083,0.09,35,0.029,0.2,20,0.199,62,5.6,0.24,Vegetable
11384,"Potatoes, au gratin, dry mix, unprepared",314,8.9,3.7,74.31,0,4.1,54,0.15,0,15.5,0,40,4.063,0.253,0.07,311,0.24,1.63,64,0.59,404,10,0.9,Vegetable
11385,"Potatoes, au gratin, dry mix, prepared with water, whole milk and butter",93,2.3,4.12,12.84,0,0.9,52,0.04,0,3.1,0,7,0.939,0.081,0.02,83,0.046,0.32,15,0.13,95,2.7,0.24,Vegetable
11386,"Potatoes, scalloped, dry mix, unprepared",358,7.77,4.59,73.93,0,8.6,0,0.18,0,16.5,0,32,4.533,0.123,0.06,62,0.26,2.01,59,0.622,197,7.9,0.92,Vegetable
11387,"Potatoes, scalloped, dry mix, prepared with water, whole milk and butter",93,2.12,4.3,12.77,0,1.1,35,0.042,0,3.3,0,10,1.029,0.056,0.019,36,0.049,0.38,14,0.181,56,1.6,0.25,Vegetable
11390,"Potatoes, hash brown, frozen, plain, unprepared",82,2.06,0.62,17.72,0,1.4,0,0.087,0,8.2,0,4,1.664,0.014,0.097,10,0.099,0.98,11,0.146,47,0.3,0.21,Vegetable
11391,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",219,2.65,11.59,28.51,0.27,3.2,0,0.236,0,6.7,2.19,16,2.314,0.033,0.134,17,0.115,0.54,28,0.184,79,0.5,0.38,Vegetable
11392,"Potatoes, hash brown, frozen, with butter sauce, unprepared",135,1.87,6.66,18.28,0,2.9,19,0.212,0,5.7,0,12,1.133,0.025,0.053,25,0.077,0.75,11,0.185,29,0.3,0.25,Vegetable
11393,"Potatoes, hash brown, frozen, with butter sauce, prepared",178,2.46,8.79,24.13,0,3.8,26,0.266,0,3.8,0,13,1.421,0.031,0.052,33,0.102,0.99,15,0.244,38,0.3,0.33,Vegetable
11394,"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",167,2.16,6.24,25.59,0.2,2.3,0,0.17,0,12.3,0.12,36,1.97,0.034,0.09,11,0.11,0.72,21,0.155,90,0.5,0.36,Vegetable
11395,"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",199,2.9,6.76,31.66,0.31,2.8,0,0.192,0,14.2,0.16,0,2.28,0.034,0.129,12,0.114,0.8,25,0.187,112,0.6,0.43,Vegetable
11396,"Potatoes, o'brien, frozen, unprepared",76,1.83,0.14,17.47,0,1.9,7,0.209,0,11.3,0,8,1.129,0.045,0.054,13,0.127,1.03,18,0.119,49,1.2,0.29,Vegetable
11397,"Potatoes, o'brien, frozen, prepared",204,2.22,13.21,21.86,0,1.7,9,0.377,0,10.4,0,12,1.448,0.135,0.052,20,0.241,0.96,34,0.226,93,1.2,0.55,Vegetable
11398,"Potato puffs, frozen, unprepared",185,1.93,8.71,24.8,0.28,2.3,0,0.194,0,6.9,0.11,17,1.815,0.061,0.184,13,0.075,0.47,16,0.111,64,0.3,0.26,Vegetable
11399,"Potato puffs, frozen, oven-heated",192,2.13,9.05,27.29,0.27,2,0,0.121,0,4,0.26,23,1.449,0.037,0.069,14,0.079,0.58,17,0.127,84,0.4,0.3,Vegetable
11400,"Potatoes, frozen, whole, unprepared",78,2.38,0.16,17.47,0.78,1.2,0,0.256,0,14.2,0.01,13,1.68,0.031,0.154,8,0.094,1.01,13,0.223,32,0.3,0.3,Vegetable
11401,"Potatoes, frozen, whole, cooked, boiled, drained, without salt",65,1.98,0.13,14.52,0,1.4,0,0.202,0,9.4,0,8,1.326,0.025,0.102,7,0.078,0.84,11,0.185,26,0.2,0.25,Vegetable
11402,"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",147,2.24,4.66,24.81,0.2,1.9,0,0.178,0,17.3,0.1,35,2.038,0.048,0.098,9,0.093,0.62,21,0.158,83,0,0.35,Vegetable
11403,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",158,2.75,5.48,25.55,0.37,2,0,0.261,0,8.6,0.39,23,2.077,0.032,0.13,12,0.104,0.57,24,0.154,87,0.4,0.35,Vegetable
11406,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",153,2.42,5.78,23.98,0,3,0,0.18,0,8.4,0,15,1.789,0.023,0.099,7,0.141,1.05,16,0.214,46,0.3,0.29,Vegetable
11407,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",218,3.44,8.2,34.03,0,3.2,0,0.243,0,9.5,0,17,2.413,0.031,0.119,10,0.2,1.49,22,0.304,65,0.4,0.41,Vegetable
11408,"Potatoes, frozen, french fried, par fried, extruded, unprepared",260,2.83,14.95,30.15,0,4.5,0,0.18,0,6.3,0,22,2.241,0.031,0.074,9,0.032,1.32,18,0.227,77,0.5,0.33,Vegetable
11409,"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",333,3.55,18.71,39.68,0,3.2,0,0.213,0,6.2,0,22,2.665,0.037,0.08,12,0.04,1.66,23,0.285,96,0.6,0.41,Vegetable
11410,"USDA Commodity, Potato wedges, frozen",123,2.7,2.2,25.5,0.3,2,0,0.35,0,11.2,0,0,1.54,0.04,0.1,15,0,0.7,19,0,87,0,0.37,Vegetable
11411,"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",133,2.19,3.39,23.51,0.2,1.9,0,0.168,0,18.4,0.08,0,2.005,0.072,0.098,9,0.092,0.65,21,0.161,78,0.4,0.36,Vegetable
11412,"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",152,2.57,3.76,26.98,0.25,2.6,0,0.192,0,14,0.08,0,2.24,0.029,0.132,10,0.095,0.64,23,0.189,90,0,0.41,Vegetable
11413,Potato flour,357,6.9,0.34,83.1,3.52,5.9,0,0.769,0,3.8,0.25,25,3.507,0.051,0.228,65,0.197,1.38,65,0.313,168,1.1,0.54,Vegetable
11414,"Potato salad, home-prepared",143,2.68,8.2,11.17,0,1.3,32,0.141,0,10,0,7,0.89,0.06,0.077,19,0.118,0.65,15,0.101,52,4.1,0.31,Vegetable
11416,"Pumpkin flowers, raw",15,1.03,0.07,3.28,0,0,97,0,0,28,0,59,0.69,0.075,0.042,39,0,0.7,24,0,49,0.7,0,Vegetable
11417,"Pumpkin flowers, cooked, boiled, drained, without salt",15,1.09,0.08,3.3,2.4,0.9,87,0.05,0,5,0.04,41,0.31,0.032,0.018,37,0.1,0.88,25,0,34,0.7,0.1,Vegetable
11418,"Pumpkin leaves, raw",19,3.15,0.4,2.33,0,0,97,0.207,0,11,0,36,0.92,0.128,0.094,39,0.133,2.22,38,0.355,104,0.9,0.2,Vegetable
11419,"Pumpkin leaves, cooked, boiled, drained, without salt",21,2.72,0.22,3.39,0.69,2.7,80,0.196,0,1,0.96,25,0.85,0.136,0.068,43,0.133,3.2,38,0.355,79,0.9,0.2,Vegetable
11422,"Pumpkin, raw",26,1,0.1,6.5,2.76,0.5,426,0.061,0,9,1.06,16,0.6,0.11,0.05,21,0.127,0.8,12,0.125,44,0.3,0.32,Vegetable
11423,"Pumpkin, cooked, boiled, drained, without salt",20,0.72,0.07,4.9,2.08,1.1,288,0.044,0,4.7,0.8,9,0.413,0.078,0.031,15,0.091,0.57,9,0.089,30,0.2,0.23,Vegetable
11424,"Pumpkin, canned, without salt",34,1.1,0.28,8.09,3.3,2.9,778,0.056,0,4.2,1.06,12,0.367,0.054,0.024,26,0.107,1.39,23,0.149,35,0.4,0.17,Vegetable
11426,"Pumpkin pie mix, canned",104,1.09,0.13,26.39,0,8.3,415,0.159,0,3.5,0,35,0.374,0.118,0.016,37,0.068,1.06,16,0.401,45,1.1,0.27,Vegetable
11427,"Purslane, raw",20,2.03,0.36,3.39,0,0,0,0.073,0,21,0,12,0.48,0.112,0.047,65,0.113,1.99,68,0.303,44,0.9,0.17,Vegetable
11428,"Purslane, cooked, boiled, drained, without salt",18,1.49,0.19,3.55,0,0,93,0.07,0,10.5,0,9,0.46,0.09,0.031,78,0.114,0.77,67,0.307,37,0.9,0.17,Vegetable
11429,"Radishes, raw",16,0.68,0.1,3.4,1.86,1.6,0,0.071,0,14.8,0,25,0.254,0.039,0.012,25,0.05,0.34,10,0.069,20,0.6,0.28,Vegetable
11430,"Radishes, oriental, raw",18,0.6,0.1,4.1,2.5,1.6,0,0.046,0,22,0,28,0.2,0.02,0.02,27,0.115,0.4,16,0.038,23,0.7,0.15,Vegetable
11431,"Radishes, oriental, cooked, boiled, drained, without salt",17,0.67,0.24,3.43,1.83,1.6,0,0.038,0,15.1,0,17,0.15,0.023,0,17,0.101,0.15,9,0.033,24,0.7,0.13,Vegetable
11432,"Radishes, oriental, dried",271,7.9,0.72,63.37,37.32,23.9,0,0.618,0,0,0.01,295,3.4,0.68,0.27,629,1.631,6.73,170,0.539,204,0.7,2.13,Vegetable
11435,"Rutabagas, raw",37,1.08,0.16,8.62,4.46,2.3,0,0.1,0,25,0.3,21,0.7,0.04,0.09,43,0.032,0.44,20,0.131,53,0.7,0.24,Vegetable
11436,"Rutabagas, cooked, boiled, drained, without salt",30,0.93,0.18,6.84,3.95,1.8,0,0.102,0,18.8,0.24,15,0.715,0.041,0.082,18,0.029,0.18,10,0.097,41,0.7,0.12,Vegetable
11437,"Salsify, (vegetable oyster), raw",82,3.3,0.2,18.6,0,3.3,0,0.277,0,8,0,26,0.5,0.22,0.08,60,0.089,0.7,23,0.268,75,0.8,0.38,Vegetable
11438,"Salsify, cooked, boiled, drained, without salt",68,2.73,0.17,15.36,2.9,3.1,0,0.218,0,4.6,0.19,15,0.392,0.173,0.056,47,0.07,0.55,18,0.21,56,0.6,0.3,Vegetable
11439,"Sauerkraut, canned, solids and liquids",19,0.91,0.14,4.28,1.78,2.9,1,0.13,0,14.7,0.14,24,0.143,0.022,0.021,30,0.096,1.47,13,0.151,20,0.6,0.19,Vegetable
11442,"Seaweed, agar, raw",26,0.54,0.03,6.75,0.28,0.5,0,0.032,0,0,0.87,85,0.055,0.022,0.005,54,0.061,1.86,67,0.373,5,0.7,0.58,Vegetable
11444,"Seaweed, irishmoss, raw",49,1.51,0.16,12.29,0.61,1.3,6,0.069,0,3,0.87,182,0.593,0.466,0.015,72,0.149,8.9,144,0.37,157,0.7,1.95,Vegetable
11445,"Seaweed, kelp, raw",43,1.68,0.56,9.57,0.6,1.3,6,0.002,0,3,0.87,180,0.47,0.15,0.05,168,0.13,2.85,121,0.2,42,0.7,1.23,Vegetable
11446,"Seaweed, laver, raw",35,5.81,0.28,5.11,0.49,0.3,260,0.159,0,39,1,146,1.47,0.446,0.098,70,0.264,1.8,2,0.988,58,0.7,1.05,Vegetable
11447,"Sesbania flower, raw",27,1.28,0.04,6.73,0,0,0,0,0,73,0,102,0.43,0.081,0.083,19,0,0.84,12,0,30,0.9,0,Vegetable
11448,"Sesbania flower, cooked, steamed, without salt",22,1.14,0.05,5.23,0,0,0,0,0,37,0,57,0.25,0.043,0.048,22,0,0.56,12,0,21,0.7,0,Vegetable
11450,"Soybeans, green, raw",147,12.95,6.8,11.05,0,4.2,9,0.065,0,29,0,165,1.65,0.175,0.435,197,0.128,3.55,65,0.547,194,1.5,0.99,Vegetable
11451,"Soybeans, green, cooked, boiled, drained, without salt",141,12.35,6.4,11.05,0,4.2,8,0.06,0,17,0,111,1.25,0.155,0.26,145,0.117,2.5,60,0.502,158,1.4,0.91,Vegetable
11452,"Soybeans, mature seeds, sprouted, raw",122,13.09,6.7,9.57,0,1.1,1,0.176,0,15.3,0,172,1.148,0.118,0.34,67,0.427,2.1,72,0.702,164,0.6,1.17,Vegetable
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",81,8.47,4.45,6.53,0.52,0.8,2,0.105,0,8.3,0.21,80,1.092,0.053,0.205,59,0.33,1.31,60,0.71,135,0.6,1.04,Vegetable
11454,"Soybeans, mature seeds, sprouted, cooked, stir-fried",125,13.1,7.1,9.4,0,0.8,1,0.168,0,12,0,127,1.1,0.19,0.42,82,0.527,0.4,96,1.133,216,0.6,2.1,Vegetable
11457,"Spinach, raw",23,2.86,0.39,3.63,0.42,2.2,469,0.195,0,28.1,2.03,194,0.724,0.189,0.078,99,0.13,2.71,79,0.897,49,1,0.53,Vegetable
11458,"Spinach, cooked, boiled, drained, without salt",23,2.97,0.26,3.75,0.43,2.4,524,0.242,0,9.8,2.08,146,0.49,0.236,0.095,136,0.174,3.57,87,0.935,56,1.5,0.76,Vegetable
11459,"Spinach, canned, regular pack, solids and liquids",19,2.11,0.37,2.92,0,1.6,322,0.08,0,13.5,0,58,0.271,0.106,0.018,83,0.116,1.58,56,0.493,32,1.2,0.42,Vegetable
11461,"Spinach, canned, regular pack, drained solids",23,2.81,0.5,3.4,0.4,2.4,490,0.1,0,14.3,1.94,98,0.388,0.138,0.016,127,0.18,2.3,76,0.597,44,1.4,0.46,Vegetable
11463,"Spinach, frozen, chopped or leaf, unprepared",29,3.63,0.57,4.21,0.65,2.9,586,0.172,0,5.5,2.9,145,0.507,0.224,0.094,129,0.144,1.89,75,0.704,49,6,0.56,Vegetable
11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",34,4.01,0.87,4.8,0.51,3.7,603,0.136,0,2.2,3.54,121,0.439,0.176,0.078,153,0.161,1.96,82,0.717,50,5.5,0.49,Vegetable
11467,"Squash, summer, crookneck and straightneck, raw",19,1.01,0.27,3.88,2.88,1,8,0.104,0,19.3,0.13,19,0.448,0.041,0.051,21,0.092,0.44,20,0.172,32,0.2,0.29,Vegetable
11468,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",23,1.04,0.39,3.79,2.48,1.1,56,0.078,0,11.6,0.12,23,0.507,0.025,0.043,22,0.065,0.37,16,0.157,29,0.2,0.22,Vegetable
11471,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",13,0.61,0.07,2.96,1.19,1.4,5,0.042,0,2.7,0.12,10,0.418,0.027,0.016,12,0.08,0.71,13,0.097,21,0.2,0.29,Vegetable
11473,"Squash, summer, crookneck and straightneck, frozen, unprepared",20,0.83,0.14,4.8,0,1.2,14,0.088,0,6.4,0,12,0.4,0.048,0.04,18,0.085,0.48,23,0.162,35,0.2,0.37,Vegetable
11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",25,1.28,0.2,5.54,2.33,1.4,10,0.099,0,6.8,0.15,13,0.44,0.047,0.036,20,0.073,0.52,27,0.263,41,0.3,0.34,Vegetable
11475,"Squash, summer, scallop, raw",18,1.2,0.2,3.84,2.39,1.2,11,0.109,0,18,0.13,30,0.6,0.03,0.07,19,0.102,0.4,23,0.157,36,0.2,0.29,Vegetable
11476,"Squash, summer, scallop, cooked, boiled, drained, without salt",16,1.03,0.17,3.3,1.5,1.9,4,0.085,0,10.8,0.12,21,0.464,0.025,0.051,15,0.083,0.33,19,0.128,28,0.2,0.24,Vegetable
11477,"Squash, summer, zucchini, includes skin, raw",17,1.21,0.32,3.11,2.5,1,10,0.163,0,17.9,0.12,24,0.451,0.094,0.045,16,0.053,0.37,18,0.177,38,0.2,0.32,Vegetable
11478,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",15,1.14,0.36,2.69,1.71,1,56,0.08,0,12.9,0.12,28,0.51,0.024,0.035,18,0.052,0.37,19,0.173,37,0.2,0.33,Vegetable
11479,"Squash, summer, zucchini, includes skin, frozen, unprepared",17,1.16,0.13,3.58,1.71,1.3,10,0.05,0,5.3,0.12,10,0.433,0.042,0.048,18,0.05,0.51,13,0.244,28,0.2,0.21,Vegetable
11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",17,1.15,0.13,3.56,1.69,1.3,9,0.045,0,3.7,0.12,8,0.386,0.04,0.041,17,0.047,0.48,13,0.23,25,0.2,0.2,Vegetable
11481,"Squash, summer, zucchini, italian style, canned",29,1.03,0.11,6.85,0,0,27,0.152,0,2.3,0,30,0.528,0.04,0.042,17,0.098,0.68,14,0.24,29,0.4,0.26,Vegetable
11482,"Squash, winter, acorn, raw",40,0.8,0.1,10.42,0,1.5,18,0.154,0,11,0,17,0.7,0.01,0.14,33,0.065,0.7,32,0.167,36,0.5,0.13,Vegetable
11483,"Squash, winter, acorn, cooked, baked, without salt",56,1.12,0.14,14.58,0,4.4,21,0.194,0,10.8,0,19,0.881,0.013,0.167,44,0.086,0.93,43,0.242,45,0.7,0.17,Vegetable
11484,"Squash, winter, acorn, cooked, boiled, mashed, without salt",34,0.67,0.08,8.79,0,2.6,41,0.117,0,6.5,0,11,0.531,0.008,0.1,26,0.052,0.56,26,0.146,27,0.4,0.11,Vegetable
11485,"Squash, winter, butternut, raw",45,1,0.1,11.69,2.2,2,532,0.154,0,21,1.44,27,1.2,0.02,0.1,48,0.072,0.7,34,0.202,33,0.5,0.15,Vegetable
11486,"Squash, winter, butternut, cooked, baked, without salt",40,0.9,0.09,10.49,1.97,3.2,558,0.124,0,15.1,1.29,19,0.969,0.017,0.072,41,0.065,0.6,29,0.172,27,0.5,0.13,Vegetable
11487,"Squash, winter, butternut, frozen, unprepared",57,1.76,0.1,14.41,2.83,1.3,240,0.11,0,6.2,1.85,24,0.74,0.059,0.09,29,0.051,0.88,14,0.248,22,0.7,0.17,Vegetable
11488,"Squash, winter, butternut, frozen, cooked, boiled, without salt",39,1.23,0.07,10.05,0,0,167,0.069,0,3.5,0,16,0.464,0.039,0.05,19,0.036,0.58,9,0.173,14,0.5,0.12,Vegetable
11489,"Squash, winter, hubbard, raw",40,2,0.5,8.7,3.95,3.9,68,0.154,0,11,0.16,16,0.5,0.04,0.07,14,0.064,0.4,19,0.179,21,0.5,0.13,Vegetable
11490,"Squash, winter, hubbard, baked, without salt",50,2.48,0.62,10.81,4.9,4.9,335,0.172,0,9.5,0.2,16,0.558,0.047,0.074,17,0.045,0.47,22,0.17,23,0.6,0.15,Vegetable
11491,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",30,1.48,0.37,6.46,2.93,2.9,200,0.103,0,6.5,0.12,10,0.334,0.028,0.042,10,0.047,0.28,13,0.126,14,0.3,0.1,Vegetable
11492,"Squash, winter, spaghetti, raw",31,0.64,0.57,6.91,2.76,1.5,6,0.101,0,2.1,0.13,12,0.95,0.018,0.037,23,0.037,0.31,12,0.125,12,0.3,0.19,Vegetable
11493,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",27,0.66,0.26,6.46,2.53,1.4,6,0.099,0,3.5,0.12,8,0.81,0.022,0.038,21,0.035,0.34,11,0.109,14,0.3,0.2,Vegetable
11495,"Succotash, (corn and limas), raw",99,5.03,1.02,19.59,0,3.8,15,0.13,0,15.1,0,40,1.587,0.082,0.208,18,0.186,1.83,48,0.688,113,0.6,0.61,Vegetable
11496,"Succotash, (corn and limas), cooked, boiled, drained, without salt",115,5.07,0.8,24.38,0,4.5,15,0.116,0,8.2,0,33,1.327,0.096,0.168,17,0.179,1.52,53,0.769,117,0.6,0.63,Vegetable
11497,"Succotash, (corn and limas), canned, with cream style corn",77,2.64,0.54,17.61,0,3,7,0.128,0,6.4,0,44,0.607,0.065,0.027,11,0.178,0.55,1,0.645,59,0.6,0.43,Vegetable
11499,"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",63,2.6,0.49,13.98,0,2.6,7,0.049,0,4.6,0,32,0.64,0.058,0.029,11,0.109,0.53,19,0.366,55,0.6,0.5,Vegetable
11501,"Succotash, (corn and limas), frozen, unprepared",93,4.31,0.89,19.94,0,4,13,0.1,0,8.5,0,42,1.375,0.072,0.087,16,0.063,0.94,24,0.295,78,0.6,0.47,Vegetable
11502,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",93,4.31,0.89,19.95,2.21,4.1,10,0.095,0,5.9,0.18,33,1.306,0.068,0.074,15,0.06,0.89,23,0.28,70,0.6,0.45,Vegetable
11503,"Swamp cabbage, (skunk cabbage), raw",19,2.6,0.2,3.14,0,2.1,315,0.096,0,55,0,57,0.9,0.1,0.03,77,0.023,1.67,71,0.16,39,0.9,0.18,Vegetable
11504,"Swamp cabbage, cooked, boiled, drained, without salt",20,2.08,0.24,3.71,0,1.9,260,0.081,0,16,0,35,0.5,0.08,0.05,54,0.021,1.32,30,0.143,42,0.9,0.16,Vegetable
11505,"Sweet potato leaves, raw",42,2.49,0.51,8.82,0,5.3,189,0.19,0,11,0,1,1.13,0.345,0.156,78,0,0.97,70,0,81,0.9,0,Vegetable
11506,"Sweet potato leaves, cooked, steamed, without salt",41,2.18,0.34,7.38,5.48,1.9,147,0.16,0,1.5,0.96,49,1.003,0.267,0.112,33,0.033,0.63,48,0.229,40,0.9,0.26,Vegetable
11507,"Sweet potato, raw, unprepared",86,1.57,0.05,20.12,4.18,3,709,0.209,0,2.4,0.26,11,0.557,0.061,0.078,30,0.151,0.61,25,0.258,47,0.6,0.3,Vegetable
