ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
11119,"Cabbage, chinese (pe-tsai), raw",16,1.2,0.2,3.23,1.41,1.2,16,0.232,0,27,0.12,79,0.4,0.05,0.04,77,0.036,0.31,13,0.19,29,0.6,0.23,Vegetable
11120,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt",14,1.5,0.17,2.41,0,1.7,48,0.177,0,15.8,0,53,0.5,0.044,0.044,32,0.029,0.3,10,0.153,39,0.4,0.18,Vegetable
11122,"Cardoon, raw",17,0.7,0.1,4.07,0,1.6,0,0.116,0,2,0,68,0.3,0.03,0.02,70,0.231,0.7,42,0.256,23,0.2,0.17,Vegetable
11123,"Cardoon, cooked, boiled, drained, without salt",22,0.76,0.11,5.33,0,1.7,6,0.042,0,1.7,0,22,0.294,0.031,0.018,72,0,0.73,43,0.133,23,1,0.18,Vegetable
11124,"Carrots, raw",41,0.93,0.24,9.58,4.74,2.8,835,0.138,0,5.9,0.66,19,0.983,0.058,0.066,33,0.045,0.3,12,0.143,35,0.1,0.24,Vegetable
11125,"Carrots, cooked, boiled, drained, without salt",35,0.76,0.18,8.22,3.45,3,852,0.153,0,3.6,1.03,14,0.645,0.044,0.066,30,0.017,0.34,10,0.155,30,0.7,0.2,Vegetable
11126,"Carrots, canned, regular pack, solids and liquids",23,0.58,0.14,5.37,2.46,1.8,613,0.112,0,2,0.73,8,0.421,0.027,0.019,31,0.103,0.52,9,0.45,20,0.4,0.29,Vegetable
11128,"Carrots, canned, regular pack, drained solids",25,0.64,0.19,5.54,2.48,1.5,558,0.112,0,2.7,0.74,9,0.552,0.03,0.018,25,0.104,0.64,8,0.45,24,0.4,0.26,Vegetable
11130,"Carrots, frozen, unprepared",36,0.78,0.46,7.9,4.76,3.3,710,0.095,0,2.5,0.57,10,0.464,0.037,0.044,36,0.074,0.44,12,0.171,33,0.7,0.33,Vegetable
11131,"Carrots, frozen, cooked, boiled, drained, without salt",37,0.58,0.68,7.73,4.08,3.3,846,0.084,0,2.3,1.01,11,0.416,0.037,0.03,35,0.082,0.53,11,0.167,31,0.6,0.35,Vegetable
11134,"Cassava, raw",160,1.36,0.28,38.06,1.7,1.8,1,0.088,0,20.6,0.19,27,0.854,0.048,0.087,16,0.1,0.27,21,0.384,27,0.7,0.34,Vegetable
11135,"Cauliflower, raw",25,1.92,0.28,4.97,1.91,2,0,0.184,0,48.2,0.08,57,0.507,0.06,0.05,22,0.039,0.42,15,0.155,44,0.6,0.27,Vegetable
11136,"Cauliflower, cooked, boiled, drained, without salt",23,1.84,0.45,4.11,2.08,2.3,1,0.173,0,44.3,0.07,44,0.41,0.052,0.042,16,0.018,0.32,9,0.132,32,0.6,0.17,Vegetable
11137,"Cauliflower, frozen, unprepared",24,2.01,0.27,4.68,2.22,2.3,1,0.123,0,48.8,0.07,64,0.429,0.07,0.051,22,0.031,0.54,12,0.197,35,0.8,0.17,Vegetable
11138,"Cauliflower, frozen, cooked, boiled, drained, without salt",19,1.61,0.22,3.75,1.05,2.7,0,0.088,0,31.3,0.06,41,0.31,0.053,0.037,17,0.024,0.41,9,0.15,24,0.6,0.13,Vegetable
11141,"Celeriac, raw",42,1.5,0.3,9.2,1.6,1.8,0,0.165,0,8,0.36,8,0.7,0.06,0.05,43,0.07,0.7,20,0.158,115,0.7,0.33,Vegetable
11142,"Celeriac, cooked, boiled, drained, without salt",27,0.96,0.19,5.9,0,1.2,0,0.101,0,3.6,0,3,0.427,0.037,0.027,26,0.043,0.43,12,0.096,66,0.4,0.2,Vegetable
11143,"Celery, raw",16,0.69,0.17,2.97,1.34,1.6,22,0.074,0,3.1,0.27,36,0.32,0.057,0.021,40,0.035,0.2,11,0.103,24,0.4,0.13,Vegetable
11144,"Celery, cooked, boiled, drained, without salt",18,0.83,0.16,4,2.37,1.6,26,0.086,0,6.1,0.35,33,0.372,0.07,0.023,42,0.036,0.42,12,0.106,25,1,0.14,Vegetable
11145,"Celtuce, raw",18,0.85,0.3,3.65,0,1.7,175,0.05,0,19.5,0,46,0.55,0.07,0.055,39,0.04,0.55,28,0.688,39,0.9,0.27,Vegetable
11147,"Chard, swiss, raw",19,1.8,0.2,3.74,1.1,1.6,306,0.099,0,30,1.89,14,0.4,0.09,0.04,51,0.179,1.8,81,0.366,46,0.9,0.36,Vegetable
11148,"Chard, swiss, cooked, boiled, drained, without salt",20,1.88,0.08,4.13,1.1,2.1,306,0.085,0,18,1.89,9,0.36,0.086,0.034,58,0.163,2.26,86,0.334,33,0.9,0.33,Vegetable
11149,"Chayote, fruit, raw",19,0.82,0.13,4.51,1.66,1.7,0,0.076,0,7.7,0.12,93,0.47,0.029,0.025,17,0.123,0.34,12,0.189,18,0.2,0.74,Vegetable
11150,"Chayote, fruit, cooked, boiled, drained, without salt",24,0.62,0.48,5.09,0,2.8,2,0.118,0,8,0,18,0.42,0.04,0.026,13,0.11,0.22,12,0.169,29,0.3,0.31,Vegetable
11151,"Chicory, witloof, raw",17,0.9,0.1,4,0,3.1,1,0.042,0,2.8,0,37,0.16,0.027,0.062,19,0.051,0.24,10,0.1,26,0.2,0.16,Vegetable
11152,"Chicory greens, raw",23,1.7,0.3,4.7,0.7,4,286,0.105,0,24,2.26,110,0.5,0.1,0.06,100,0.295,0.9,30,0.429,47,0.3,0.42,Vegetable
11154,"Chicory roots, raw",72,1.4,0.2,17.51,8.73,1.5,0,0.241,0,5,0,23,0.4,0.03,0.04,41,0.077,0.8,22,0.233,61,0.7,0.33,Vegetable
11156,"Chives, raw",30,3.27,0.73,4.35,1.85,2.5,218,0.138,0,58.1,0.21,105,0.647,0.115,0.078,92,0.157,1.6,42,0.373,58,0.9,0.56,Vegetable
11157,"Chrysanthemum, garland, raw",24,3.36,0.56,3.02,0,3,116,0.176,0,1.4,0,177,0.531,0.144,0.13,117,0.137,2.29,32,0.943,54,0,0.71,Vegetable
11158,"Chrysanthemum, garland, cooked, boiled, drained, without salt",20,1.64,0.09,4.31,2.01,2.3,129,0.118,0,23.9,2.5,50,0.72,0.16,0.021,69,0.133,3.74,18,0.355,43,0.3,0.2,Vegetable
11161,"Collards, raw",32,3.02,0.61,5.42,0.46,4,251,0.165,0,35.3,2.26,129,0.742,0.13,0.054,232,0.046,0.47,27,0.658,25,1.3,0.21,Vegetable
11162,"Collards, cooked, boiled, drained, without salt",33,2.71,0.72,5.65,0.4,4,380,0.128,0,18.2,0.88,16,0.575,0.106,0.04,141,0.051,1.13,21,0.51,32,0.5,0.23,Vegetable
