fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2344823,13,12.87,0.069,53,0.014,0.042,0.008,0.2,18,0,0.31,12,0.199,8,0.36,0,0.021,0.1,9.98,0.058,0,0,0.1,43.8,0.02,0.11,Fruit
2344824,11,13.13,0.021,54,0.059,0.05,0.077,0.1,24,0,0.1,7,0.233,11,0.15,0,0.015,0.3,12.65,0.015,0,0,0.04,0.1,0.38,0.09,Fruit
2344825,12,17.45,0.068,71,0.021,0.007,0.003,1,0,0,1.18,14,0.785,25,0.61,0,0.07,0.6,16.45,0.016,0,0,0.218,4.1,0.12,0.21,Fruit
2344826,12,7.8,0.114,38,0.058,0.344,0.018,0.1,10,0,0.48,21,0.446,12,0.3,0,0.018,0.3,7.7,0.012,6,0,0.021,11.3,0.9,0.41,Fruit
2344827,7,7.55,0.042,30,0.037,0.05,0.016,0.4,3,0,0.24,10,0.178,11,0.61,0,0.021,0.4,6.2,0.033,28,0,0.045,8.1,0.05,0.1,Fruit
2345056,3,31.8,0.074,122,0,0,0,1.7,19,0,0.55,36,0.636,32,1.3,0,0.072,1.5,17.46,0.056,53,0,0.217,15.6,0,0.19,Vegetable
2345057,3,30.87,0.072,144,1.171,1.169,0.397,1.6,18,0,0.54,35,0.618,31,1.26,0,0.07,1.5,16.95,0.054,52,0,0.211,15.1,0.47,0.18,Vegetable
2345058,3,31.89,0.074,122,0,0,0,1.7,22,0,0.55,36,0.672,32,1.3,0,0.076,1.5,17.51,0.062,56,0,0.242,18.4,0,0.19,Vegetable
2345059,3,30.88,0.072,141,0.873,0.757,0.67,1.6,18,0,0.54,35,0.618,31,1.27,11,0.07,1.5,16.96,0.054,63,0,0.227,15.1,0.34,0.18,Vegetable
2345060,4,30.88,0.072,138,0.576,0.345,0.944,1.6,18,0,0.53,35,0.618,32,1.27,22,0.07,1.5,16.96,0.054,74,0,0.244,15.1,0.21,0.18,Vegetable
2345062,3,31.8,0.074,122,0,0,0,1.7,19,0,0.55,36,0.636,32,1.3,0,0.072,1.5,17.46,0.056,53,0,0.217,15.6,0,0.19,Vegetable
2345063,3,30.87,0.072,144,1.171,1.169,0.397,1.6,18,0,0.54,35,0.618,31,1.26,0,0.07,1.5,16.95,0.054,52,0,0.211,15.1,0.47,0.18,Vegetable
2345064,17,39.62,0.104,191,1.017,0.864,0.798,1.9,24,0,0.28,22,0.845,28,1.42,12,0.048,0.7,1.78,0.082,13,0,0.1,18.2,0.56,0.36,Vegetable
2345065,15,34.72,0.091,269,5.584,5.551,1.937,1.6,22,0,0.27,19,0.74,25,1.24,0,0.042,0.6,1.55,0.063,1,0,0.076,15,2.39,0.31,Vegetable
2345067,45,27.55,0.179,141,0.956,0.9,0.764,4.3,20,0,0.58,34,0.593,88,1.57,12,0.025,0.7,0.42,0.089,16,0,0.283,4,2.84,0.24,Vegetable
2345068,45,27.55,0.179,141,0.956,0.9,0.764,4.3,20,0,0.58,34,0.593,88,1.57,12,0.025,0.7,0.42,0.089,16,0,0.283,4,2.84,0.24,Vegetable
2345069,31,33.59,0.142,166,0.986,0.882,0.781,3.1,22,0,0.43,28,0.719,58,1.5,12,0.036,0.7,1.1,0.085,15,0,0.191,11.1,1.7,0.3,Vegetable
2345071,117,4.33,0.191,22,0.026,0.046,0.02,3.7,15,0,2.57,70,0.4,41,2.2,0,0.22,0.9,0.5,0.1,316,0,0.106,30,1.5,0.38,Vegetable
2345072,122,4.51,0.199,48,0.966,0.862,0.742,3.9,12,0,2.68,73,0.396,43,2.3,12,0.218,0.9,0.53,0.094,325,0,0.122,21.9,1.93,0.4,Vegetable
